,Hashtag+combined_ID,Sample ID (internal),Sample_ID,Site,Donor ID,Hashtag,Fresh/frozen,Cell type,Sorting,Stimulation,GEX chem,GEX lib,ADT lib,TCR lib,BCR lib,HTO lib,Organ,Protein panel,symbol,combined_ID
60,HTO_C0257_CZI-IA10466283+CZI-IA10466379,105,637C-MLN-105,UK,637C,HTO_C0257,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,MLN,Protein panel 2,+,CZI-IA10466283+CZI-IA10466379
61,HTO_C0256_CZI-IA10466283+CZI-IA10466379,106,637C-TLN-106,UK,637C,HTO_C0256,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,TLN,Protein panel 2,+,CZI-IA10466283+CZI-IA10466379
62,HTO_C0255_CZI-IA10466283+CZI-IA10466379,107,637C-LIV-107,UK,637C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,LIV,Protein panel 2,+,CZI-IA10466283+CZI-IA10466379
63,HTO_C0254_CZI-IA10466284+CZI-IA10466380,102,637C-SPL-102,UK,637C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,SPL,Protein panel 2,+,CZI-IA10466284+CZI-IA10466380
64,HTO_C0252_CZI-IA10466284+CZI-IA10466380,103,637C-BLD-103,UK,637C,HTO_C0252,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,BLO,Protein panel 2,+,CZI-IA10466284+CZI-IA10466380
65,HTO_C0253_CZI-IA10466284+CZI-IA10466380,104,637C-BMA-104,UK,637C,HTO_C0253,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,BMA,Protein panel 2,+,CZI-IA10466284+CZI-IA10466380
66,HTO_C0257_CZI-IA10466284+CZI-IA10466380,105,637C-MLN-105,UK,637C,HTO_C0257,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,MLN,Protein panel 2,+,CZI-IA10466284+CZI-IA10466380
67,HTO_C0256_CZI-IA10466284+CZI-IA10466380,106,637C-TLN-106,UK,637C,HTO_C0256,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,TLN,Protein panel 2,+,CZI-IA10466284+CZI-IA10466380
68,HTO_C0255_CZI-IA10466284+CZI-IA10466380,107,637C-LIV-107,UK,637C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,LIV,Protein panel 2,+,CZI-IA10466284+CZI-IA10466380
69,HTO_C0252_CZI-IA10466285+CZI-IA10466381,108,637C-JEJLP-108,UK,637C,HTO_C0252,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10466285,CZI-IA10466381,CZI-IA10466285,CZI-IA10466285,,JEJLP,Protein panel 2,+,CZI-IA10466285+CZI-IA10466381
70,nan_CZI-IA10466286+CZI-IA10466382,109,637C-JEJEPI-109,UK,637C,HTO_C0253,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10466286,CZI-IA10466382,CZI-IA10466286,CZI-IA10466286,,JEJEPI,Protein panel 2,+,CZI-IA10466286+CZI-IA10466382
71,HTO_C0254_CZI-IA10466285+CZI-IA10466381,111,637C-LNG-111,UK,637C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10466285,CZI-IA10466381,CZI-IA10466285,CZI-IA10466285,,LNG,Protein panel 2,+,CZI-IA10466285+CZI-IA10466381
72,HTO_C0252_CZI-IA10471909+CZI-IA10472005,120,640C-SPL-120,UK,640C,HTO_C0252,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,SPL,Protein panel 2,+,CZI-IA10471909+CZI-IA10472005
73,HTO_C0253_CZI-IA10471909+CZI-IA10472005,121,640C-BMA-121,UK,640C,HTO_C0253,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,BMA,Protein panel 2,+,CZI-IA10471909+CZI-IA10472005
